epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,65.5217,1.05589,0.681,0.9989,0.86107,0.000332211,0.000332211,0.000332211
2,125.151,0.87209,0.69827,0.99816,0.8179,0.000599655,0.000599655,0.000599655
3,181.986,0.844,0.681,0.99963,0.92185,0.0008011,0.0008011,0.0008011
4,239.203,0.78723,0.73723,0.99816,0.72119,0.000703,0.000703,0.000703
5,296.253,0.75211,0.73723,0.99816,0.72109,0.000604,0.000604,0.000604
6,352.893,0.70636,0.76516,0.99926,0.6381,0.000505,0.000505,0.000505
7,409.883,0.6772,0.75818,0.9989,0.64659,0.000406,0.000406,0.000406
8,466.088,0.63954,0.76332,0.99853,0.65855,0.000307,0.000307,0.000307
9,521.892,0.61716,0.75818,0.99963,0.62799,0.000208,0.000208,0.000208
10,577.779,0.58608,0.78501,0.99926,0.58509,0.000109,0.000109,0.000109
